# XOR Dataset grande (2000 filas)
# Problema clásico no linealmente separable
# INPUT_COLS: X1,X2
# OUTPUT_COLS: Y
X1,X2,Y
0.455,0.423,0
0.9573,0.9954,0
0.5558,0.7184,0
0.1548,0.2967,0
0.9687,0.5792,0
0.5422,0.748,0
0.0572,0.5842,1
0.5029,0.8527,0
0.1574,0.9608,1
0.0801,0.1858,0
0.595,0.6752,0
0.2352,0.1199,0
0.8903,0.2462,1
0.5945,0.6194,0
0.4192,0.5837,1
0.5228,0.9347,0
0.2043,0.7162,1
0.2387,0.3958,0
0.6717,0.3,1
0.3162,0.7519,1
0.0725,0.4583,0
0.9985,0.9961,0
0.0733,0.2132,0
0.2652,0.9333,1
0.8809,0.8793,0
0.3695,0.1577,0
0.8337,0.7035,0
0.6117,0.9872,0
0.654,0.0078,1
0.8171,0.2994,1
0.6634,0.9389,0
0.1343,0.1154,0
0.107,0.5532,1
0.2723,0.6048,1
0.7176,0.2036,1
0.6342,0.264,1
0.4885,0.9053,1
0.8461,0.0923,1
0.4236,0.2767,0
0.0035,0.7711,1
0.6371,0.262,1
0.7412,0.5517,0
0.4277,0.0097,0
0.0752,0.8831,1
0.9039,0.5456,0
0.8346,0.5825,0
0.1481,0.1274,0
0.3083,0.899,1
0.7961,0.8607,0
0.8989,0.2101,1
0.2495,0.1028,0
0.7801,0.8841,0
0.4064,0.6207,1
0.1546,0.9299,1
0.8646,0.9762,0
0.8108,0.8814,0
0.0248,0.7366,1
0.3322,0.9308,1
0.8022,0.8641,0
0.8107,0.2668,1
0.7874,0.1081,1
0.8722,0.8586,0
0.2224,0.8166,1
0.4603,0.3052,0
0.7953,0.2276,1
0.0237,0.1931,0
0.3283,0.8644,1
0.9669,0.2791,1
0.6415,0.3997,1
0.9811,0.5362,0
0.9392,0.1153,1
0.9704,0.1786,1
0.9625,0.2655,1
0.1084,0.4346,0
0.7285,0.3137,1
0.6062,0.5114,0
0.3852,0.5766,1
0.2547,0.7088,1
0.0017,0.9256,1
0.5385,0.7194,0
0.742,0.6706,0
0.3642,0.07,0
0.6642,0.3302,1
0.3139,0.848,1
0.7198,0.3003,1
0.3093,0.4084,0
0.4024,0.2957,0
0.1273,0.4204,0
0.9404,0.6773,0
0.9028,0.6155,0
0.3009,0.5479,1
0.0004,0.2869,0
0.4299,0.58,1
0.6547,0.465,1
0.4422,0.2137,0
0.4732,0.9012,1
0.796,0.1697,1
0.0848,0.5155,1
0.6329,0.3352,1
0.8184,0.7511,0
0.6728,0.2246,1
0.1991,0.0244,0
0.2448,0.4751,0
0.8497,0.0728,1
0.4144,0.6298,1
0.1944,0.6964,1
0.4944,0.244,0
0.6561,0.0055,1
0.751,0.77,0
0.1066,0.4251,0
0.1759,0.958,1
0.518,0.0502,1
0.2492,0.8483,1
0.4565,0.8014,1
0.6676,0.9879,0
0.5955,0.95,0
0.8914,0.6127,0
0.7193,0.5048,0
0.8306,0.5479,0
0.8972,0.7437,0
0.4747,0.2592,0
0.2472,0.6377,1
0.7658,0.5213,0
0.6267,0.2746,1
0.0775,0.2857,0
0.2717,0.3197,0
0.5402,0.1384,1
0.2313,0.6939,1
0.7064,0.0642,1
0.4076,0.5426,1
0.4158,0.2068,0
0.4201,0.9048,1
0.5841,0.6955,0
0.8567,0.7656,0
0.3804,0.0059,0
0.3518,0.7535,1
0.8534,0.9534,0
0.419,0.7475,1
0.5461,0.6033,0
0.2205,0.2194,0
0.4358,0.029,0
0.3361,0.6791,1
0.4043,0.165,0
0.4674,0.1276,0
0.6223,0.027,1
0.394,0.5644,1
0.0271,0.6427,1
0.1357,0.4617,0
0.0503,0.3791,0
0.2117,0.3268,0
0.7612,0.3791,1
0.752,0.8319,0
0.2523,0.0819,0
0.0194,0.5394,1
0.9999,0.35,1
0.6501,0.7812,0
0.6518,0.7542,0
0.9496,0.1994,1
0.0204,0.1524,0
0.1262,0.6695,1
0.564,0.218,1
0.6995,0.7669,0
0.1678,0.6072,1
0.7479,0.1145,1
0.8193,0.9647,0
0.1081,0.0257,0
0.312,0.6773,1
0.9582,0.3967,1
0.715,0.076,1
0.6906,0.6272,0
0.1019,0.7725,1
0.8503,0.6004,0
0.1211,0.9838,1
0.7826,0.3472,1
0.4284,0.3706,0
0.506,0.3412,1
0.8496,0.8223,0
0.1055,0.9608,1
0.6356,0.8287,0
0.7073,0.4355,1
0.7338,0.9655,0
0.2701,0.8082,1
0.5382,0.4835,1
0.4356,0.731,1
0.2684,0.8517,1
0.8307,0.0867,1
0.8816,0.2439,1
0.4647,0.6103,1
0.379,0.0287,0
0.851,0.1818,1
0.2121,0.7978,1
0.3403,0.8803,1
0.7012,0.2763,1
0.0102,0.9481,1
0.0856,0.7201,1
0.4886,0.7582,1
0.6906,0.6459,0
0.4908,0.7929,1
0.0931,0.2216,0
0.6918,0.3062,1
0.5816,0.4733,1
0.5309,0.4255,1
0.7459,0.3308,1
0.7029,0.2709,1
0.2514,0.1207,0
0.1926,0.1196,0
0.5359,0.7622,0
0.1851,0.2164,0
0.4842,0.7246,1
0.9766,0.5246,0
0.283,0.1005,0
0.1941,0.2275,0
0.1794,0.0141,0
0.5341,0.2743,1
0.9743,0.5534,0
0.6974,0.1263,1
0.8685,0.4909,1
0.8727,0.5741,0
0.4694,0.4405,0
0.1844,0.0514,0
0.9411,0.4777,1
0.8221,0.4007,1
0.0741,0.6294,1
0.0536,0.1492,0
0.5628,0.3038,1
0.9939,0.1185,1
0.7644,0.6063,0
0.7907,0.2257,1
0.5226,0.4505,1
0.4427,0.8602,1
0.99,0.3054,1
0.621,0.6096,0
0.7401,0.9476,0
0.2078,0.211,0
0.6604,0.1571,1
0.1738,0.0751,0
0.0027,0.4505,0
0.5938,0.2913,1
0.2315,0.707,1
0.703,0.454,1
0.6874,0.9239,0
0.7878,0.6251,0
0.6612,0.9337,0
0.4251,0.5446,1
0.6476,0.9084,0
0.8266,0.0714,1
0.1659,0.3076,0
0.749,0.5692,0
0.2886,0.1244,0
0.6887,0.6997,0
0.9427,0.5005,0
0.4938,0.0804,0
0.0399,0.432,0
0.3223,0.2504,0
0.0913,0.9619,1
0.836,0.5752,0
0.9508,0.9996,0
0.6723,0.2695,1
0.0402,0.7563,1
0.4705,0.6515,1
0.9161,0.1815,1
0.5853,0.6348,0
0.4917,0.0912,0
0.348,0.3333,0
0.6701,0.8577,0
0.3298,0.6937,1
0.2882,0.9452,1
0.8136,0.5501,0
0.4548,0.3145,0
0.3233,0.9702,1
0.4042,0.5146,1
0.9881,0.6577,0
0.5426,0.4132,1
0.1876,0.3618,0
0.7564,0.6254,0
0.76,0.2036,1
0.5492,0.9277,0
0.4381,0.6983,1
0.1214,0.9731,1
0.6089,0.2393,1
0.1584,0.5508,1
0.5523,0.0932,1
0.9923,0.9129,0
0.4614,0.1175,0
0.8321,0.4984,1
0.7166,0.5089,0
0.2734,0.8347,1
0.9802,0.2437,1
0.5513,0.3836,1
0.9219,0.5082,0
0.8793,0.864,0
0.2762,0.79,1
0.4149,0.9342,1
0.5077,0.8205,0
0.2828,0.2986,0
0.5869,0.9989,0
0.4896,0.1486,0
0.5386,0.3451,1
0.5519,0.5434,0
0.4553,0.3218,0
0.1887,0.6975,1
0.5718,0.2336,1
0.7755,0.0436,1
0.7447,0.7052,0
0.8114,0.3861,1
0.6637,0.8207,0
0.9808,0.4953,1
0.037,0.5023,1
0.5902,0.8697,0
0.8742,0.4403,1
0.526,0.4569,1
0.7224,0.41,1
0.6548,0.1544,1
0.4695,0.9692,1
0.3386,0.6927,1
0.6498,0.8518,0
0.8523,0.8593,0
0.38,0.3167,0
0.7187,0.7594,0
0.8724,0.0359,1
0.0684,0.6312,1
0.9209,0.9974,0
0.7468,0.434,1
0.0984,0.6337,1
0.8726,0.4437,1
0.694,0.9034,0
0.046,0.7961,1
0.2934,0.3748,0
0.1456,0.5312,1
0.5659,0.7925,0
0.17,0.079,0
0.8708,0.6197,0
0.2408,0.9128,1
0.1431,0.4611,0
0.254,0.2553,0
0.0094,0.8046,1
0.9012,0.6776,0
0.158,0.4417,0
0.3456,0.5876,1
0.6389,0.4243,1
0.2501,0.8453,1
0.1992,0.3847,0
0.4832,0.2372,0
0.5719,0.5748,0
0.9927,0.2952,1
0.9779,0.6582,0
0.2745,0.5659,1
0.6858,0.7447,0
0.049,0.6064,1
0.4967,0.9042,1
0.2862,0.7989,1
0.6071,0.3523,1
0.6366,0.6209,0
0.6778,0.7209,0
0.6592,0.8383,0
0.6282,0.9034,0
0.6463,0.3089,1
0.4408,0.5796,1
0.7324,0.0901,1
0.2951,0.7475,1
0.1756,0.1322,0
0.5394,0.9715,0
0.5309,0.9135,0
0.8305,0.257,1
0.8247,0.4818,1
0.8065,0.7466,0
0.3387,0.1152,0
0.9629,0.1408,1
0.9665,0.8601,0
0.7242,0.9799,0
0.9673,0.8046,0
0.3658,0.7907,1
0.0139,0.5366,1
0.4548,0.6728,1
0.6723,0.5846,0
0.8224,0.9403,0
0.1083,0.2338,0
0.025,0.8842,1
0.5614,0.9153,0
0.2214,0.0632,0
0.8239,0.9094,0
0.3022,0.4083,0
0.1398,0.9463,1
0.3044,0.4926,0
0.0972,0.8873,1
0.1357,0.4536,0
0.6705,0.7431,0
0.946,0.4191,1
0.7423,0.1545,1
0.4149,0.099,0
0.4893,0.4081,0
0.9515,0.0327,1
0.3705,0.4434,0
0.9506,0.8555,0
0.0994,0.6857,1
0.5445,0.9778,0
0.3587,0.3981,0
0.1898,0.1222,0
0.848,0.4547,1
0.6628,0.6417,0
0.5971,0.0214,1
0.7868,0.2436,1
0.1259,0.5646,1
0.0686,0.7652,1
0.2072,0.216,0
0.8697,0.3286,1
0.1476,0.9005,1
0.0028,0.8584,1
0.1447,0.13,0
0.2507,0.1745,0
0.6611,0.0258,1
0.0149,0.79,1
0.2379,0.3238,0
0.1742,0.0524,0
0.7417,0.5261,0
0.7457,0.4762,1
0.778,0.5132,0
0.1091,0.5038,1
0.9454,0.0434,1
0.7832,0.867,0
0.5215,0.458,1
0.964,0.0608,1
0.479,0.4016,0
0.6861,0.4903,1
0.9097,0.0735,1
0.0808,0.6083,1
0.0657,0.275,0
0.6331,0.5484,0
0.3252,0.9946,1
0.5306,0.4537,1
0.6054,0.0992,1
0.7018,0.8528,0
0.6509,0.769,0
0.7208,0.215,1
0.4516,0.2285,0
0.3389,0.4535,0
0.416,0.0951,0
0.4268,0.6651,1
0.3743,0.1526,0
0.923,0.0671,1
0.8318,0.0932,1
0.0966,0.7388,1
0.8118,0.5564,0
0.5865,0.5616,0
0.3296,0.1222,0
0.3536,0.6653,1
0.7503,0.8681,0
0.7211,0.9684,0
0.6004,0.3516,1
0.5779,0.2127,1
0.6567,0.2242,1
0.1082,0.8454,1
0.3676,0.7626,1
0.5741,0.8072,0
0.8452,0.9745,0
0.8184,0.6136,0
0.6427,0.0263,1
0.9291,0.8295,0
0.2674,0.1804,0
0.7027,0.309,1
0.3398,0.0061,0
0.8699,0.5663,0
0.4008,0.1419,0
0.6332,0.0307,1
0.7461,0.2151,1
0.4198,0.3409,0
0.3701,0.7216,1
0.7768,0.5676,0
0.085,0.0526,0
0.1574,0.6178,1
0.674,0.2721,1
0.6619,0.4857,1
0.442,0.2732,0
0.7549,0.1138,1
0.4299,0.2832,0
0.6785,0.4866,1
0.6671,0.0454,1
0.3953,0.5993,1
0.0077,0.3014,0
0.2112,0.1372,0
0.2555,0.3281,0
0.0077,0.747,1
0.1757,0.3802,0
0.7037,0.5003,0
0.8334,0.8062,0
0.0721,0.8618,1
0.0423,0.0187,0
0.9212,0.8621,0
0.5758,0.5734,0
0.7095,0.4177,1
0.1152,0.0209,0
0.3248,0.8013,1
0.6181,0.832,0
0.9198,0.0881,1
0.8445,0.2433,1
0.5889,0.524,0
0.3958,0.3103,0
0.3395,0.3331,0
0.1681,0.5105,1
0.114,0.51,1
0.9059,0.3494,1
0.7274,0.8189,0
0.815,0.2363,1
0.1464,0.1973,0
0.6024,0.7602,0
0.6555,0.1771,1
0.7728,0.4941,1
0.7544,0.7599,0
0.4489,0.9242,1
0.5645,0.6353,0
0.6245,0.8642,0
0.6272,0.151,1
0.0683,0.4422,0
0.3028,0.2747,0
0.0562,0.5073,1
0.3104,0.4519,0
0.0569,0.8317,1
0.0767,0.8643,1
0.8553,0.615,0
0.5071,0.4627,1
0.5543,0.7918,0
0.8959,0.4497,1
0.8098,0.6518,0
0.3215,0.4756,0
0.1509,0.0619,0
0.1035,0.8991,1
0.3434,0.7143,1
0.5045,0.1726,1
0.2477,0.4378,0
0.4394,0.5227,1
0.1587,0.3729,0
0.2829,0.4088,0
0.3384,0.5979,1
0.7892,0.6473,0
0.0659,0.0945,0
0.6784,0.2841,1
0.7237,0.6566,0
0.9063,0.8733,0
0.3334,0.5827,1
0.1414,0.3498,0
0.9677,0.6985,0
0.392,0.595,1
0.938,0.3096,1
0.3767,0.7917,1
0.8132,0.6701,0
0.829,0.7388,0
0.6854,0.5264,0
0.646,0.4234,1
0.3618,0.3626,0
0.1803,0.2142,0
0.9477,0.4863,1
0.2265,0.1376,0
0.0772,0.8444,1
0.1011,0.7709,1
0.8351,0.8837,0
0.0377,0.3368,0
0.7663,0.131,1
0.3767,0.1622,0
0.8313,0.7711,0
0.809,0.1655,1
0.4377,0.4109,0
0.6764,0.2375,1
0.4442,0.2849,0
0.7485,0.4489,1
0.534,0.3095,1
0.8086,0.469,1
0.8351,0.3678,1
0.9471,0.9844,0
0.4617,0.2818,0
0.3819,0.5275,1
0.9663,0.8169,0
0.8013,0.1384,1
0.25,0.6412,1
0.8741,0.5545,0
0.1026,0.8459,1
0.8512,0.2851,1
0.7631,0.2728,1
0.9053,0.1473,1
0.4375,0.9464,1
0.222,0.4511,0
0.3496,0.0267,0
0.0533,0.502,1
0.2358,0.9945,1
0.3749,0.0282,0
0.9308,0.8392,0
0.65,0.7914,0
0.1376,0.2869,0
0.8298,0.6961,0
0.1388,0.7055,1
0.4486,0.0053,0
0.0792,0.2559,0
0.835,0.5488,0
0.7272,0.5278,0
0.1112,0.2881,0
0.3012,0.0477,0
0.4198,0.7939,1
0.4571,0.1109,0
0.9051,0.5967,0
0.0164,0.5154,1
0.2419,0.1436,0
0.4292,0.6148,1
0.2406,0.4166,0
0.6644,0.0856,1
0.9747,0.0677,1
0.5261,0.5073,0
0.9883,0.5542,0
0.3905,0.4701,0
0.6357,0.981,0
0.2537,0.0162,0
0.7885,0.3448,1
0.7329,0.6283,0
0.7715,0.7352,0
0.3325,0.0443,0
0.546,0.8135,0
0.1751,0.7791,1
0.4646,0.6954,1
0.6317,0.8115,0
0.0631,0.7762,1
0.4577,0.2934,0
0.0438,0.1995,0
0.0419,0.9334,1
0.5154,0.9891,0
0.543,0.2533,1
0.7533,0.1911,1
0.357,0.7808,1
0.8658,0.3319,1
0.1245,0.368,0
0.8895,0.7433,0
0.8946,0.3866,1
0.9737,0.4962,1
0.4975,0.9243,1
0.5193,0.8011,0
0.7271,0.0789,1
0.6025,0.8223,0
0.5455,0.3212,1
0.0801,0.6609,1
0.3065,0.6026,1
0.4261,0.6898,1
0.3515,0.0424,0
0.87,0.3526,1
0.9982,0.2746,1
0.98,0.9479,0
0.075,0.6375,1
0.3633,0.8011,1
0.6794,0.9528,0
0.1428,0.6076,1
0.7813,0.0348,1
0.0672,0.7785,1
0.3663,0.3829,0
0.5672,0.6051,0
0.6791,0.9488,0
0.372,0.7631,1
0.5739,0.5295,0
0.398,0.6496,1
0.2496,0.1134,0
0.7357,0.499,1
0.387,0.5617,1
0.2618,0.2603,0
0.4463,0.9964,1
0.2856,0.9165,1
0.4912,0.1226,0
0.8528,0.452,1
0.8987,0.4451,1
0.0878,0.6819,1
0.8455,0.3196,1
0.3474,0.0649,0
0.5422,0.8913,0
0.8514,0.7118,0
0.9273,0.6377,0
0.7937,0.5088,0
0.1214,0.201,0
0.1389,0.7904,1
0.0263,0.554,1
0.3689,0.8037,1
0.5516,0.6119,0
0.0862,0.3093,0
0.9996,0.7189,0
0.5257,0.7692,0
0.8233,0.0738,1
0.9724,0.6423,0
0.45,0.6801,1
0.3445,0.878,1
0.7803,0.6398,0
0.182,0.9663,1
0.4326,0.9107,1
0.0554,0.1242,0
0.153,0.1647,0
0.3227,0.7093,1
0.346,0.9409,1
0.8949,0.8459,0
0.2506,0.6351,1
0.5508,0.1252,1
0.3028,0.5335,1
0.5026,0.1686,1
0.9416,0.1542,1
0.6587,0.7206,0
0.6051,0.8425,0
0.5636,0.8252,0
0.0284,0.0455,0
0.6415,0.5768,0
0.6511,0.767,0
0.4166,0.639,1
0.498,0.6272,1
0.2897,0.9567,1
0.4829,0.8047,1
0.685,0.2974,1
0.073,0.0599,0
0.4396,0.4843,0
0.204,0.6067,1
0.3126,0.7184,1
0.7342,0.8608,0
0.9754,0.1308,1
0.3705,0.5617,1
0.3191,0.4665,0
0.2675,0.2479,0
0.0968,0.2902,0
0.3841,0.6154,1
0.2483,0.8653,1
0.1597,0.3274,0
0.5777,0.3127,1
0.7631,0.4983,1
0.5147,0.4988,1
0.3085,0.0232,0
0.9452,0.5054,0
0.9667,0.2151,1
0.3529,0.0505,0
0.4949,0.8823,1
0.6543,0.4706,1
0.5367,0.8472,0
0.4309,0.8825,1
0.7275,0.7639,0
0.3659,0.4006,0
0.5703,0.1947,1
0.5532,0.0735,1
0.5043,0.7644,0
0.2797,0.9891,1
0.6804,0.1188,1
0.9751,0.3939,1
0.7949,0.3391,1
0.9389,0.755,0
0.1991,0.5091,1
0.5001,0.0453,1
0.137,0.333,0
0.4737,0.457,0
0.6063,0.5155,0
0.328,0.6131,1
0.1625,0.9906,1
0.7393,0.2992,1
0.3364,0.8283,1
0.5323,0.7087,0
0.2998,0.8157,1
0.3684,0.6738,1
0.9799,0.5837,0
0.7968,0.7253,0
0.688,0.0266,1
0.4746,0.9671,1
0.7829,0.7762,0
0.5776,0.7214,0
0.5835,0.1705,1
0.629,0.6197,0
0.8412,0.1478,1
0.6807,0.0316,1
0.9482,0.1099,1
0.0189,0.3137,0
0.1514,0.6905,1
0.4104,0.775,1
0.9205,0.8728,0
0.7358,0.0623,1
0.1381,0.2073,0
0.325,0.6622,1
0.5255,0.3138,1
0.1732,0.9121,1
0.3423,0.3543,0
0.772,0.7209,0
0.6433,0.6933,0
0.6101,0.1923,1
0.2465,0.5581,1
0.2249,0.9729,1
0.2976,0.289,0
0.2073,0.705,1
0.317,0.3488,0
0.9337,0.7954,0
0.2735,0.1219,0
0.6766,0.3797,1
0.9802,0.8184,0
0.9546,0.8046,0
0.2905,0.2876,0
0.7141,0.3464,1
0.4424,0.2564,0
0.4791,0.2021,0
0.5386,0.933,0
0.6962,0.1373,1
0.6157,0.5868,0
0.2425,0.6698,1
0.531,0.6379,0
0.0525,0.4133,0
0.7174,0.1005,1
0.7708,0.0052,1
0.5504,0.9291,0
0.4069,0.935,1
0.8784,0.4774,1
0.1995,0.9639,1
0.3212,0.6459,1
0.9079,0.0895,1
0.5741,0.5352,0
0.7231,0.9367,0
0.9132,0.1751,1
0.8822,0.1758,1
0.9196,0.9972,0
0.397,0.4954,0
0.9366,0.9621,0
0.926,0.8767,0
0.0093,0.568,1
0.1073,0.983,1
0.2846,0.9891,1
0.5433,0.4939,1
0.9386,0.8511,0
0.468,0.1928,0
0.1126,0.1625,0
0.4589,0.2573,0
0.1862,0.7366,1
0.7908,0.5678,0
0.7573,0.1755,1
0.8561,0.897,0
0.827,0.5153,0
0.0867,0.6693,1
0.1848,0.1406,0
0.3236,0.248,0
0.2608,0.2355,0
0.7538,0.954,0
0.3019,0.7229,1
0.0114,0.6537,1
0.6928,0.0621,1
0.1182,0.3068,0
0.4054,0.5025,1
0.8951,0.7036,0
0.311,0.1174,0
0.9161,0.295,1
0.6146,0.2191,1
0.1336,0.1532,0
0.7477,0.6057,0
0.4158,0.5492,1
0.4708,0.5375,1
0.6641,0.2184,1
0.2475,0.7547,1
0.8731,0.0819,1
0.4467,0.7038,1
0.0781,0.5642,1
0.0618,0.5476,1
0.5055,0.5727,0
0.1499,0.3281,0
0.5203,0.1162,1
0.2054,0.5831,1
0.0909,0.5104,1
0.8087,0.4534,1
0.5132,0.4568,1
0.0577,0.4624,0
0.8069,0.7233,0
0.3959,0.8165,1
0.7458,0.5783,0
0.0453,0.3445,0
0.0638,0.9941,1
0.9346,0.069,1
0.9338,0.0317,1
0.4089,0.769,1
0.7658,0.9783,0
0.6459,0.4204,1
0.9929,0.3825,1
0.8696,0.9068,0
0.3756,0.6827,1
0.6618,0.5393,0
0.6535,0.3478,1
0.1785,0.5373,1
0.5288,0.7279,0
0.2227,0.0035,0
0.0227,0.2984,0
0.6735,0.5444,0
0.5319,0.8234,0
0.2475,0.3462,0
0.2756,0.9374,1
0.725,0.1128,1
0.8095,0.4192,1
0.7661,0.8838,0
0.0156,0.2061,0
0.1009,0.0336,0
0.5978,0.7033,0
0.0487,0.7405,1
0.4023,0.2343,0
0.2173,0.8637,1
0.0564,0.5039,1
0.2893,0.8158,1
0.7315,0.3189,1
0.5979,0.6725,0
0.3207,0.3018,0
0.1433,0.6602,1
0.221,0.3005,0
0.061,0.9485,1
0.8797,0.9116,0
0.626,0.4272,1
0.4956,0.9723,1
0.9416,0.6713,0
0.7858,0.3187,1
0.4163,0.1492,0
0.3765,0.7544,1
0.4735,0.8493,1
0.3007,0.7076,1
0.8058,0.9147,0
0.5624,0.9678,0
0.5573,0.1341,1
0.2429,0.2033,0
0.6467,0.9222,0
0.8471,0.0925,1
0.7246,0.1905,1
0.2685,0.6737,1
0.6029,0.8736,0
0.1882,0.7617,1
0.7243,0.5589,0
0.4794,0.8695,1
0.333,0.957,1
0.0153,0.9372,1
0.9621,0.1173,1
0.9996,0.4789,1
0.2426,0.6044,1
0.2045,0.9151,1
0.5521,0.7755,0
0.3807,0.5337,1
0.3593,0.2616,0
0.5128,0.4973,1
0.0986,0.9813,1
0.4695,0.8397,1
0.9143,0.3707,1
0.4139,0.5625,1
0.2213,0.1459,0
0.2608,0.9348,1
0.5791,0.4176,1
0.1524,0.3299,0
0.3798,0.8334,1
0.4993,0.6546,1
0.6848,0.2573,1
0.8216,0.9665,0
0.6417,0.4906,1
0.1682,0.795,1
0.1693,0.7203,1
0.4883,0.9169,1
0.5421,0.6418,0
0.0587,0.0338,0
0.8467,0.9452,0
0.6682,0.7643,0
0.4124,0.8425,1
0.2314,0.7072,1
0.0091,0.5057,1
0.3732,0.6178,1
0.6668,0.6165,0
0.4832,0.4879,0
0.0066,0.5516,1
0.0119,0.5294,1
0.2747,0.9775,1
0.0171,0.8132,1
0.674,0.8062,0
0.9098,0.107,1
0.0963,0.1489,0
0.1919,0.5265,1
0.8152,0.2673,1
0.3969,0.3731,0
0.406,0.565,1
0.9902,0.2259,1
0.684,0.8479,0
0.6537,0.8582,0
0.7596,0.0935,1
0.3793,0.5527,1
0.0561,0.0095,0
0.1714,0.4999,0
0.4339,0.7844,1
0.5659,0.858,0
0.0954,0.5282,1
0.0426,0.2114,0
0.8681,0.8876,0
0.4755,0.0466,0
0.0743,0.9256,1
0.8993,0.5635,0
0.0329,0.9288,1
0.3145,0.9615,1
0.587,0.7523,0
0.7127,0.3983,1
0.0769,0.1625,0
0.2405,0.8347,1
0.3892,0.8965,1
0.3317,0.7556,1
0.14,0.9885,1
0.7242,0.5008,0
0.9743,0.0537,1
0.4371,0.8387,1
0.3406,0.769,1
0.9549,0.3967,1
0.7736,0.0296,1
0.2733,0.9926,1
0.4906,0.3558,0
0.9411,0.4318,1
0.6797,0.6607,0
0.0857,0.6186,1
0.7981,0.7131,0
0.082,0.1542,0
0.7117,0.6339,0
0.7397,0.3167,1
0.1066,0.0052,0
0.3083,0.3599,0
0.2698,0.1325,0
0.1874,0.4488,0
0.5547,0.408,1
0.0263,0.3539,0
0.0931,0.598,1
0.3244,0.3852,0
0.2918,0.3878,0
0.0847,0.9011,1
0.9052,0.9782,0
0.572,0.1696,1
0.3807,0.1388,0
0.3011,0.4931,0
0.0633,0.4347,0
0.4211,0.4842,0
0.0769,0.2517,0
0.2466,0.625,1
0.5938,0.1955,1
0.107,0.3047,0
0.9488,0.3322,1
0.6202,0.8041,0
0.3295,0.3347,0
0.8155,0.8595,0
0.9742,0.1361,1
0.3207,0.9473,1
0.2009,0.3142,0
0.9646,0.9687,0
0.2914,0.695,1
0.491,0.5759,1
0.2424,0.3761,0
0.8165,0.3929,1
0.1139,0.5639,1
0.5922,0.5456,0
0.6817,0.5501,0
0.953,0.4616,1
0.7084,0.4385,1
0.2913,0.6928,1
0.819,0.7957,0
0.4091,0.4993,0
0.6333,0.242,1
0.6587,0.7152,0
0.7891,0.074,1
0.9907,0.4792,1
0.4008,0.5066,1
0.9204,0.6917,0
0.5436,0.7907,0
0.3595,0.8955,1
0.5369,0.6382,0
0.085,0.769,1
0.6576,0.355,1
0.647,0.0443,1
0.9836,0.6775,0
0.3996,0.7527,1
0.9657,0.4305,1
0.0105,0.2587,0
0.5107,0.5188,0
0.5805,0.5752,0
0.4458,0.3911,0
0.7723,0.5886,0
0.5005,0.345,1
0.0246,0.1045,0
0.416,0.9617,1
